"AOU","Genus","Species","BBS_dist","BBS_dist_error","Migration","Mig_distance","Flocks","Male_mass_g","Trend","Relative.Abundance","BBS_species","BBS_Tree_species","Habitat_specialism_score","Diet_specialism_score","Diet.5Cat","GenFLS","Order","SE"
1440,"Aix","sponsa",2992.67943807151,547.545448125009,"Partial","short","Yes",694,1.15,0.34,"Aix sponsa","Aix_sponsa",80,50,"PlantSeed",2.123768167,"ANSERIFORMES",547.545448125009
1310,"Lophodytes","cucullatus",1357.08476128084,2447.66250936638,"Partial","long","Yes",7200,4.91,0.02,"Lophodytes cucullatus","Lophodytes_cucullatus",80,40,"Omnivore",4.513622284,"ANSERIFORMES",2447.66250936638
1290,"Mergus","merganser",17093.4439465073,3601.51442765756,"Complete","long","Yes",1059,-0.44,0.26,"Mergus merganser","Mergus_merganser",80,70,"VertFishScav",3.511069377,"ANSERIFORMES",3601.51442765756
1510,"Bucephala","clangula",1711.96963060661,1491.7638786631,"Complete","short","Yes",465,0.47,0.25,"Bucephala clangula","Bucephala_clangula",80,70,"Invertebrate",4.827337695,"ANSERIFORMES",1491.7638786631
1530,"Bucephala","albeola",2335.93314365681,5134.75782298089,"Complete","long","Yes",3232,3.43,0.3,"Bucephala albeola","Bucephala_albeola",100,70,"Invertebrate",4.122017644,"ANSERIFORMES",5134.75782298089
640,"Hydroprogne","caspia",5193.46951895019,4667.1090438962,"Partial","long","Yes",23.9,0.18,0.09,"Hydroprogne caspia","Sterna_caspia",80,80,"VertFishScav",9.749406689,"CHARADRIIFORMES",4667.1090438962
650,"Thalasseus","maximus",4098.7064246477,7345.1370181047,"Partial","long","Yes",94.5,0.08,1.72,"Thalasseus maximus","Sterna_maxima",100,80,"VertFishScav",10.50757482,"CHARADRIIFORMES",7345.1370181047
690,"Sterna","forsteri",21237.2299705594,5686.10052435015,"Partial","long","Yes",36.1,-1.3,0.29,"Sterna forsteri","Sterna_forsteri",80,80,"VertFishScav",7.166436783,"CHARADRIIFORMES",5686.10052435015
580,"Leucophaeus","atricilla",1486.47393332653,10638.0158015826,"Partial","short","Yes",64.3,1.11,515.59,"Leucophaeus atricilla","Larus_atricilla",50,40,"VertFishScav",7.567408887,"CHARADRIIFORMES",10638.0158015826
590,"Leucophaeus","pipixcan",8438.55833346631,23590.506155456,"Complete","short","Yes",67.2,-1.13,556.79,"Leucophaeus pipixcan","Larus_pipixcan",40,40,"Omnivore",7.124439976,"CHARADRIIFORMES",23590.506155456
470,"Larus","marinus",1536.49450300659,8559.02789682854,"Partial","long","Yes",13.5,-1.57,2.84,"Larus marinus","Larus_marinus",80,20,"Omnivore",11.45300822,"CHARADRIIFORMES",8559.02789682854
800,"Rynchops","niger",796.506036102986,10400.8777519606,"Partial","long","Yes",20.7,-1.38,0.92,"Rynchops niger","Rynchops_niger",100,70,"VertFishScav",5.712844594,"CHARADRIIFORMES",10400.8777519606
2640,"Numenius","americanus",6937.38482770725,2107.41284292069,"Complete","long","Yes",649.2,0.03,2.31,"Numenius americanus","Numenius_americanus",80,90,"Invertebrate",6.748466121,"CHARADRIIFORMES",2107.41284292069
2280,"Scolopax","minor",507.849519347137,1488.53166865146,"Partial","long","Yes",111,-0.73,0.02,"Scolopax minor","Scolopax_minor",80,100,"Invertebrate",2.298184966,"CHARADRIIFORMES",1488.53166865146
2580,"Tringa","semipalmata",1866.59919418396,1241.08112875634,"Complete","short","Yes",315,-0.64,1.82,"Tringa semipalmata","Catoptrophorus_semipalmatus",70,80,"Invertebrate",3.532632541,"CHARADRIIFORMES",1241.08112875634
2550,"Tringa","flavipes",4729.07978099673,8455.03781587267,"Complete","short","Yes",200,-1.04,0.44,"Tringa flavipes","Tringa_flavipes",50,100,"Invertebrate",4.061051404,"CHARADRIIFORMES",8455.03781587267
2540,"Tringa","melanoleuca",1105.66781669466,13120.854023305,"Complete","short","Yes",68.8,0.68,0.25,"Tringa melanoleuca","Tringa_melanoleuca",80,80,"Invertebrate",4.856839238,"CHARADRIIFORMES",13120.854023305
2560,"Tringa","solitaria",1870.65057403481,8329.20528956261,"Complete","short","Yes",261,0.23,0.08,"Tringa solitaria","Tringa_solitaria",50,80,"Invertebrate",3.038332371,"CHARADRIIFORMES",8329.20528956261
2630,"Actitis","macularius",9163.18319776924,1213.77520170013,"Complete","long","Yes",117,-1.49,0.38,"Actitis macularius","Actitis_macularius",80,80,"Invertebrate",3.282817159,"CHARADRIIFORMES",1213.77520170013
